ID	StateFull	State	Field3	Field4	StateNum
2	Alaska	AK	West	Pacific	1
3	Alabama	AL	South	East South Central	2
4	Arkansas	AR	South	West South Central	3
5	Arizona	AZ	West	Mountain	4
6	California	CA	West	Pacific	5
7	Colorado	CO	West	Mountain	6
8	Connecticut	CT	Northeast	New England	7
9	District of Columbia	DC	South	South Atlantic	8
10	Delaware	DE	South	South Atlantic	9
11	Florida	FL	South	South Atlantic	10
12	Georgia	GA	South	South Atlantic	11
13	Hawaii	HI	West	Pacific	12
14	Iowa	IA	Midwest	West North Central	13
15	Idaho	ID	West	Mountain	14
16	Illinois	IL	Midwest	East North Central	15
17	Indiana	IN	Midwest	East North Central	16
18	Kansas	KS	Midwest	West North Central	17
19	Kentucky	KY	South	East South Central	18
20	Louisiana	LA	South	West South Central	19
21	Massachusetts	MA	Northeast	New England	20
22	Maryland	MD	South	South Atlantic	21
23	Maine	ME	Northeast	New England	22
24	Michigan	MI	Midwest	East North Central	23
25	Minnesota	MN	Midwest	West North Central	24
26	Missouri	MO	Midwest	West North Central	25
27	Mississippi	MS	South	East South Central	26
28	Montana	MT	West	Mountain	27
29	North Carolina	NC	South	South Atlantic	28
30	North Dakota	ND	Midwest	West North Central	29
31	Nebraska	NE	Midwest	West North Central	30
32	New Hampshire	NH	Northeast	New England	31
33	New Jersey	NJ	Northeast	Middle Atlantic	32
34	New Mexico	NM	West	Mountain	33
35	Nevada	NV	West	Mountain	34
36	New York	NY	Northeast	Middle Atlantic	35
37	Ohio	OH	Midwest	East North Central	36
38	Oklahoma	OK	South	West South Central	37
39	Oregon	OR	West	Pacific	38
40	Pennsylvania	PA	Northeast	Middle Atlantic	39
41	Rhode Island	RI	Northeast	New England	40
42	South Carolina	SC	South	South Atlantic	41
43	South Dakota	SD	Midwest	West North Central	42
44	Tennessee	TN	South	East South Central	43
45	Texas	TX	South	West South Central	44
46	Utah	UT	West	Mountain	45
47	Virginia	VA	South	South Atlantic	46
48	Vermont	VT	Northeast	New England	47
49	Washington	WA	West	Pacific	48
50	Wisconsin	WI	Midwest	East North Central	49
51	West Virginia	WV	South	South Atlantic	50
52	Wyoming	WY	West	Mountain	51
